Ingredient,Total Quantity (grams)
?duja Salami,3820.0
Alfredo Sauce,1590.0
Anchovies,4155.0
Artichokes,15495.0
Arugula,875.0
Asiago Cheese,8270.0
Bacon,42530.0
Barbecue Sauce,3040.0
Barbecued Chicken,8840.0
Beef Chuck Roast,13560.0
Blue Cheese,5070.0
Brie Carre Cheese,1680.0
Calabrese Salami,22950.0
Capocollo,83500.0
Caramelized Onions,896.0
Chicken,114000.0
Chipotle Sauce,12940.0
Chorizo Sausage,7100.0
Cilantro,6470.0
Coarse Sicilian Salami,17240.0
Corn,43330.0
Eggplant,5380.0
Feta Cheese,12740.0
Fontina Cheese,8110.0
Friggitello Peppers,955.0
Garlic,35310.0
Genoa Salami,10530.0
Goat Cheese,17200.0
Gorgonzola Piccante Cheese,5700.0
Gouda Cheese,6300.0
Green Olives,6685.0
Green Peppers,10510.0
Italian Sausage,1420.0
Jalapeno Peppers,9620.0
Kalamata Olives,4380.0
Luganega Sausage,8620.0
Mozzarella Cheese,15790.0
Mushrooms,37560.0
Onions,4310.0
Oregano,1865.0
Pancetta,5730.0
Parmigiano Reggiano Cheese,13680.0
Pears,560.0
Peperoncini verdi,2435.0
Pepperoni,35020.0
Pesto Sauce,6910.0
Pineapple,11535.0
Plum Tomatoes,5040.0
Prosciutto,1680.0
Prosciutto di San Daniele,2000.0
Provolone Cheese,5070.0
Red Onions,102360.0
Red Peppers,22000.0
Ricotta Cheese,7125.0
Romano Cheese,5070.0
Sliced Ham,3125.0
Smoked Gouda Cheese,5070.0
Soppressata Salami,9050.0
Spinach,36750.0
Sun-dried Tomatoes,2255.0
Thai Sweet Chilli Sauce,5190.0
Thyme,280.0
Tomatoes,69250.0
Zucchini,7190.0
